itemID,adminYear,Grade,Subject,Cycle,Released,inScaling,mainSurBlock,Key,maxPoints,codDomainXScaling,itemLabel,contentDomain2015,mainTopic2015,Topic,T15Bullet,Objective,a_est,a_se,b_est,b_se,c_est,c_se,d1_est,d1_se,d2_est,d2_se
M041010,2011,4,M,4,Yes,Yes,M03,C,1,Knowing,Place value of 8,Number,Whole Numbers,N1,1,N11,0.92053,0.07145,-0.45167,0.09477,0.26749,0.03786,,,,
M041098,2011,4,M,4,Yes,Yes,M03,D,1,Applying,How many cans must Sean buy,Number,Whole Numbers,N1,4,N14,1.83851,0.1426,0.59638,0.03166,0.2498,0.01476,,,,
M041064,2011,4,M,4,Yes,Yes,M03,-,1,Applying,Shade 1/2 of the larger triangle,Number,Fractions and Decimals,N2,1,N21,0.71167,0.03226,-0.53834,0.03986,,,,,,
M041003,2011,4,M,4,Yes,Yes,M03,-,1,Knowing,Smallest 3 digit number,Number,Whole Numbers,N1,1,N11,0.82769,0.03572,-0.01801,0.03078,,,,,,
M041104,2011,4,M,4,Yes,Yes,M03,-,1,Knowing,Number between 5 and 6,Number,Fractions and Decimals,N2,1,N21,1.07081,0.04257,-0.07393,0.0255,,,,,,
M041299,2011,4,M,4,Yes,Yes,M03,-,1,Knowing,Fraction of the cake eaten,Number,Fractions and Decimals,N2,2,N22,1.30274,0.05622,0.784,0.02689,,,,,,
M041329,2011,4,M,4,Yes,Yes,M03,A,1,Knowing,Which one is a right angle ,Geometric Shapes and Measures,"Points, Lines, and Angles",G1,3,G13,1.05471,0.09252,0.06911,0.07519,0.34317,0.02876,,,,
M041143,2011,4,M,4,Yes,Yes,M03,-,2,Knowing,Identify shapes in the picture,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.33069,0.01085,-0.63245,0.04458,,,-1.83299,0.1109,1.83299,0.1031
M041158,2011,4,M,4,Yes,Yes,M03,C,1,Applying,Number of boxes in the stack,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,3,G23,0.85266,0.06315,-0.31373,0.08597,0.18885,0.03465,,,,
M041328,2011,4,M,4,Yes,Yes,M03,-,1,Applying,Draw reflection of the triangle,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.90506,0.03764,-0.27377,0.03034,,,,,,
M041155,2011,4,M,4,Yes,Yes,M03,C,1,Applying,How far does Ruth walk,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,3,G23,0.98551,0.06973,0.24429,0.0519,0.13867,0.02215,,,,
M041284,2011,4,M,4,Yes,Yes,M03,-,2,Reasoning,Identify the shapes,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.74111,0.02925,0.67769,0.02706,,,0.41971,0.03679,-0.41971,0.04726
M031128,2011,4,M,3,Yes,Yes,M05,-,1,Knowing,5631 plus 286,Number,Whole Numbers,N1,3,N13,0.53413,0.02858,-1.24719,0.07082,,,,,,
M031016,2011,4,M,3,Yes,Yes,M05,-,1,Reasoning,What is the prize winning number,Number,Whole Numbers,N1,4,N14,1.29481,0.0547,0.71922,0.02563,,,,,,
M031183,2011,4,M,3,Yes,Yes,M05,-,2,Applying,Recipe for 3 people,Number,Whole Numbers,N1,4,N14,0.86366,0.0304,0.14685,0.02172,,,0.65592,0.03423,-0.65592,0.0348
M031297,2011,4,M,3,Yes,Yes,M05,-,1,Applying,Shaded area in square centimeters,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,3,G23,0.82426,0.03902,0.73542,0.03744,,,,,,
M031218,2011,4,M,3,Yes,Yes,M05,D,1,Applying,600 books to be packed into boxes,Number,Whole Numbers,N1,4,N14,1.40176,0.08691,0.06906,0.0386,0.16212,0.01943,,,,
M031109,2011,4,M,3,Yes,Yes,M05,C,1,Knowing,The angles ordered by size,Geometric Shapes and Measures,"Points, Lines, and Angles",G1,3,G13,0.67407,0.05959,-0.31873,0.12939,0.20823,0.04431,,,,
M031159,2011,4,M,3,Yes,Yes,M05,A,1,Knowing,Rotate the shape 1/4 clockwise,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,1.05856,0.07576,-0.26261,0.07003,0.23629,0.03076,,,,
M041011,2011,4,M,4,Yes,Yes,M06,B,1,Knowing,Number 100 more than 5432,Number,Whole Numbers,N1,1,N11,1.30137,0.08537,-0.19852,0.05222,0.22809,0.02575,,,,
M041122,2011,4,M,4,Yes,Yes,M06,-,2,Knowing,Numbers which are factor of 12,Number,Whole Numbers,N1,5,N15,0.4829,0.01635,0.57559,0.03177,,,-0.77752,0.06512,0.77752,0.07092
M041041,2011,4,M,4,Yes,Yes,M06,C,1,Knowing,Number closest to 9 multiply by 22,Number,Whole Numbers,N1,2,N12,1.15069,0.10436,0.34495,0.0632,0.35277,0.02455,,,,
M041320,2011,4,M,4,Yes,Yes,M06,D,1,Knowing,Equivalent fractions,Number,Fractions and Decimals,N2,2,N22,1.69433,0.11106,0.40814,0.03025,0.17881,0.01559,,,,
M041160A,2011,4,M,4,Yes,Yes,M06,-,1,Knowing,Position of the shop,Geometric Shapes and Measures,"Points, Lines, and Angles",G1,4,G14,1.08682,0.04659,-1.13254,0.04082,,,,,,
M041160B,2011,4,M,4,Yes,Yes,M06,-,1,Applying,Mark Lucy's house,Geometric Shapes and Measures,"Points, Lines, and Angles",G1,4,G14,1.34482,0.05859,-1.15863,0.03624,,,,,,
M041327,2011,4,M,4,Yes,Yes,M06,-,1,Applying,Draw the line of symmetry ,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.53288,0.02876,0.00117,0.0446,,,,,,
M041148,2011,4,M,4,Yes,Yes,M06,-,2,Knowing,Statement about 3-D figures,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.37399,0.01899,-0.05859,0.04079,,,0.35363,0.07621,-0.35363,0.07276
M041265,2011,4,M,4,Yes,Yes,M06,D,1,Reasoning,Relating net with its 3-D figure,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,2,G22,0.88569,0.07582,0.81564,0.05259,0.12318,0.01946,,,,
M031210,2011,4,M,3,Yes,Yes,M07,A,1,Knowing,Select a fraction larger than 1/2,Number,Fractions and Decimals,N2,2,N22,1.5991,0.15008,0.81276,0.0402,0.30996,0.01615,,,,
M031009,2011,4,M,3,Yes,Yes,M07,-,1,Applying,How many pages needed altogether,Number,Whole Numbers,N1,4,N14,1.01639,0.04354,0.52509,0.02771,,,,,,
M031004,2011,4,M,3,Yes,Yes,M07,B,1,Applying,Length of string pulled straight,Geometric Shapes and Measures,"Points, Lines, and Angles",G1,1,G11,1.21711,0.09895,1.03636,0.03982,0.10792,0.01286,,,,
M031043,2011,4,M,3,Yes,Yes,M07,C,1,Applying,A train from Redville to Bedford,Number,Whole Numbers,N1,4,N14,1.45554,0.09447,0.26336,0.0361,0.17481,0.01825,,,,
M031325,2011,4,M,3,Yes,Yes,M07,-,1,Applying,Angle between 90 and 180 degrees,Geometric Shapes and Measures,"Points, Lines, and Angles",G1,3,G13,0.90739,0.04114,0.63681,0.03204,,,,,,
M031088,2011,4,M,3,Yes,Yes,M07,C,1,Applying,Jamie is playing a board game,Geometric Shapes and Measures,"Points, Lines, and Angles",G1,4,G14,0.92549,0.06797,-0.43642,0.08863,0.22536,0.03698,,,,
M031093,2011,4,M,3,Yes,Yes,M07,D,1,Knowing,Which dotted line is of symmetry,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.58282,0.10926,1.01625,0.15868,0.38882,0.04015,,,,
M041004,2015,4,M,4,Restricted Use,Yes,M01,B,1,Knowing,Convert words to numerals ,Number,Whole Numbers,N1,1,N11,0.98682,0.04963,-1.31404,0.08433,0.20986,0.04003,,,,
M041023,2015,4,M,4,Restricted Use,Yes,M01,D,1,Knowing,Trees Jan plant altogether,Number,Whole Numbers,N1,3,N14,1.64976,0.07009,-0.69336,0.03276,0.18235,0.01954,,,,
M041034,2015,4,M,4,Restricted Use,Yes,M01,A,1,Knowing,Multiples of 3,Number,Whole Numbers,N1,5,N15,0.94866,0.04533,-0.0683,0.04457,0.139,0.01956,,,,
M041087,2015,4,M,4,Restricted Use,Yes,M01,-,1,Knowing,Add 0.36 + 0.77,Number,Fractions and Decimals,N2,3,N23,0.80842,0.02469,-0.07173,0.0224,,,,,,
M041124,2015,4,M,4,Restricted Use,Yes,M01,-,1,Applying,Use the rule to complete the table,Number,"Expressions, Simple Equations, and Relationships",N3,3,N33,0.96435,0.02768,-0.1985,0.02021,,,,,,
M041302A,2015,4,M,4,Restricted Use,Yes,M01,C,1,Knowing,What shape is made,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,1.03706,0.04708,-0.60412,0.05222,0.16523,0.02462,,,,
M041302B,2015,4,M,4,Restricted Use,Yes,M01,-,1,Reasoning,What points did you connect,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.62769,0.02139,-0.29614,0.0291,,,,,,
M041302C,2015,4,M,4,Restricted Use,Yes,M01,-,1,Reasoning,Draw a 6-sided shape,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,1.0711,0.03003,-0.31215,0.01948,,,,,,
M041254,2015,4,M,4,Restricted Use,Yes,M01,D,1,Knowing,How many edges does the cube have,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.77505,0.05181,0.30559,0.06423,0.22264,0.02361,,,,
M041153,2015,4,M,4,Restricted Use,Yes,M01,C,1,Applying,Perimeter of the compound figure,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,3,G23,1.10013,0.05265,0.2241,0.03396,0.14782,0.01554,,,,
M041132,2015,4,M,4,Restricted Use,Yes,M01,B,1,Applying,How many tiles long the snake is,Geometric Shapes and Measures,"Points, Lines, and Angles",G1,1,G11,0.46,0.04128,0.8004,0.09991,0.11082,0.03008,,,,
M041165,2015,4,M,4,Restricted Use,Yes,M01,-,2,Applying,Draw all the lines of symmetry,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.37515,0.00993,0.41126,0.02672,,,-0.86596,0.05671,0.86596,0.05987
M041174,2015,4,M,4,Restricted Use,Yes,M01,-,1,Knowing,Students sold more than 10 boxes ,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,1.13589,0.03249,-0.68938,0.02221,,,,,,
M041191,2015,4,M,4,Restricted Use,Yes,M01,D,1,Applying,Peter's height,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,1.02474,0.0585,-1.04474,0.08869,0.33678,0.03766,,,,
M051205,2015,4,M,5,Restricted Use,Yes,M03,-,1,Knowing,Subtract 532 from 4809,Number,Whole Numbers,N1,3,N13,0.69055,0.02253,-0.32491,0.02702,,,,,,
M051039,2015,4,M,5,Restricted Use,Yes,M03,-,1,Applying,Number of books Mary can buy,Number,Whole Numbers,N1,4,N14,1.18572,0.03251,-0.09416,0.01688,,,,,,
M051055,2015,4,M,5,Restricted Use,Yes,M03,-,1,Applying,Trip from Newtown to Oldtown,Number,Whole Numbers,N1,4,N14,1.16557,0.03677,0.88926,0.02168,,,,,,
M051006,2015,4,M,5,Restricted Use,Yes,M03,-,2,Reasoning,Cost of ice cream,Number,Whole Numbers,N1,4,N14,0.53943,0.01409,1.07001,0.02782,,,-0.56018,0.04158,0.56018,0.05143
M051070,2015,4,M,5,Restricted Use,Yes,M03,B,1,Applying,Jim's money after purchase,Number,Fractions and Decimals,N2,3,N23,1.46185,0.08785,0.92188,0.02624,0.18481,0.01002,,,,
M051018,2015,4,M,5,Restricted Use,Yes,M03,C,1,Reasoning,Picture on the 39th sticker ,Number,"Expressions, Simple Equations, and Relationships",N3,3,N33,0.94441,0.06325,0.57331,0.04628,0.24315,0.01793,,,,
M051407,2015,4,M,5,Restricted Use,Yes,M03,A,1,Applying,Shape made of triangle & rectangle,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.9419,0.05317,0.16483,0.04868,0.2029,0.02035,,,,
M051410,2015,4,M,5,Restricted Use,Yes,M03,D,1,Knowing,Statements about the triangles,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.96228,0.05782,0.5756,0.03956,0.1761,0.01616,,,,
M051059,2015,4,M,5,Restricted Use,Yes,M03,-,1,Applying,Reflection of the given shape,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.75001,0.02472,-1.128,0.03717,,,,,,
M051093,2015,4,M,5,Restricted Use,Yes,M03,B,1,Reasoning,Perimeter of the given shape,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,3,G23,0.81429,0.05587,0.72006,0.0477,0.16897,0.01807,,,,
M051134,2015,4,M,5,Restricted Use,Yes,M03,-,1,Applying,Months Peter paid less for phone,Data Display,"Reading, Interpreting, and Representing",D1,1,D12,1.2772,0.03635,0.36276,0.01598,,,,,,
M051077,2015,4,M,5,Restricted Use,Yes,M03,C,1,Applying,What students did after school,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,1.23628,0.0521,0.18977,0.02628,0.08958,0.01234,,,,
M041291,2015,4,M,4,Restricted Use,Yes,M05,-,1,Knowing,Subtract 428 - 176,Number,Whole Numbers,N1,3,N13,0.70491,0.02292,-0.72665,0.03183,,,,,,
M041289,2015,4,M,4,Restricted Use,Yes,M05,C,1,Applying,Number closest in size to 300,Number,Whole Numbers,N1,2,N12,1.15551,0.06582,0.19978,0.04258,0.29151,0.01823,,,,
M041068,2015,4,M,4,Restricted Use,Yes,M05,B,1,Knowing,Which is the smallest number,Number,Fractions and Decimals,N2,3,N23,1.26131,0.05562,0.57379,0.02289,0.08094,0.00967,,,,
M041065A,2015,4,M,4,Restricted Use,Yes,M05,C,1,Knowing,Circle with 3/8 of the area shaded,Number,Fractions and Decimals,N2,1,N21,1.62502,0.08112,0.64337,0.02194,0.17215,0.01025,,,,
M041065B,2015,4,M,4,Restricted Use,Yes,M05,-,1,Reasoning,Give reason for your selection,Number,Fractions and Decimals,N2,1,N21,1.06717,0.0351,1.01541,0.02503,,,,,,
M041096,2015,4,M,4,Restricted Use,Yes,M05,D,1,Knowing,Number to go into the box,Number,"Expressions, Simple Equations, and Relationships",N3,1,N31,1.07946,0.05152,0.48921,0.02898,0.10286,0.01253,,,,
M041125,2015,4,M,4,Restricted Use,Yes,M05,A,1,Applying,Rule to get numbers in column B,Number,"Expressions, Simple Equations, and Relationships",N3,3,N33,1.20886,0.07198,0.79094,0.03082,0.19526,0.01246,,,,
M041135,2015,4,M,4,Restricted Use,Yes,M05,A,1,Knowing,A pair of parallel lines,Geometric Shapes and Measures,"Points, Lines, and Angles",G1,2,G12,0.83192,0.05963,-0.46581,0.10749,0.42243,0.03366,,,,
M041257,2015,4,M,4,Restricted Use,Yes,M05,-,1,Knowing,Statements about a rectangle,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.77194,0.02491,0.33143,0.02326,,,,,,
M041268,2015,4,M,4,Restricted Use,Yes,M05,B,1,Applying,What is the length of side A,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,3,G23,2.02195,0.129,1.00848,0.02222,0.23196,0.00862,,,,
M041151,2015,4,M,4,Restricted Use,Yes,M05,C,1,Reasoning,Shape makes a cube when folded,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,2,G22,0.51873,0.04173,-0.31431,0.15821,0.20752,0.04608,,,,
M041264,2015,4,M,4,Restricted Use,Yes,M05,A,1,Applying,What is the area of the triangle,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,3,G23,0.54498,0.05173,0.56148,0.11002,0.22085,0.03324,,,,
M041182,2015,4,M,4,Restricted Use,Yes,M05,-,1,Applying,Complete the table,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,0.81789,0.02797,-1.61138,0.04547,,,,,,
M041200,2015,4,M,4,Restricted Use,Yes,M05,-,2,Applying,Complete and label the bar graph,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,0.47178,0.01287,-0.55634,0.02657,,,-0.20887,0.05002,0.20887,0.04252
M051140,2015,4,M,5,Restricted Use,Yes,M06,A,1,Applying,Expression for Jenny's age ,Number,"Expressions, Simple Equations, and Relationships",N3,2,N32,0.66495,0.04425,0.21366,0.07401,0.16009,0.02641,,,,
M051017,2015,4,M,5,Restricted Use,Yes,M06,C,1,Knowing,Closest estimate for 52093 - 4136,Number,Whole Numbers,N1,3,N12,0.99427,0.07069,0.65589,0.04625,0.29501,0.01711,,,,
M051111,2015,4,M,5,Restricted Use,Yes,M06,-,1,Reasoning,Get the largest number,Number,Whole Numbers,N1,2,N13,0.69611,0.02582,0.9916,0.03509,,,,,,
M051089,2015,4,M,5,Restricted Use,Yes,M06,-,1,Knowing,Number shown by the arrow ,Number,Fractions and Decimals,N2,3,N23,1.21093,0.0361,0.6931,0.0184,,,,,,
M051094,2015,4,M,5,Restricted Use,Yes,M06,B,1,Applying,Money need to buy juice bottles,Number,Fractions and Decimals,N2,3,N23,1.23479,0.06784,0.49026,0.03206,0.22037,0.0142,,,,
M051227,2015,4,M,5,Restricted Use,Yes,M06,-,1,Reasoning,Largest number described by a clue,Number,Whole Numbers,N1,2,N12,1.10122,0.03742,1.12628,0.02669,,,,,,
M051060,2015,4,M,5,Restricted Use,Yes,M06,D,1,Knowing,Which shape has symmetry,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.57755,0.04586,0.53777,0.08286,0.15121,0.02767,,,,
M051061Z,2015,4,M,5,Restricted Use,Yes,M06,-,1,Knowing,Units of length (Derived),Geometric Shapes and Measures,"Points, Lines, and Angles",G1,1,G11,0.73465,0.02537,0.68737,0.02787,,,,,,
M051129,2015,4,M,5,Restricted Use,Yes,M06,B,1,Reasoning,Solid with the largest volume,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,3,G23,0.74765,0.04904,-0.06043,0.08122,0.24056,0.029,,,,
M051236,2015,4,M,5,Restricted Use,Yes,M06,-,1,Applying,In what square is the treasure,Geometric Shapes and Measures,"Points, Lines, and Angles",G1,4,G14,0.89741,0.02687,0.07668,0.02045,,,,,,
M051125A,2015,4,M,5,Restricted Use,Yes,M06,-,1,Knowing,People visiting the website on Thu,Data Display,"Reading, Interpreting, and Representing",D1,1,D11,0.8251,0.02826,-1.63253,0.04551,,,,,,
M051125B,2015,4,M,5,Restricted Use,Yes,M06,D,1,Applying,How many more on Fri than Tue,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,0.66861,0.05044,0.08483,0.09647,0.25053,0.03172,,,,
M041298,2015,4,M,4,Restricted Use,Yes,M07,D,1,Knowing,Which rectangle is 1/4 shaded,Number,Fractions and Decimals,N2,1,N21,1.02061,0.05465,-0.53731,0.06483,0.2845,0.02757,,,,
M041007,2015,4,M,4,Restricted Use,Yes,M07,D,1,Knowing,Which could be Pat's number,Number,Whole Numbers,N1,1,N11,0.87694,0.05289,0.42471,0.04636,0.18151,0.01856,,,,
M041280,2015,4,M,4,Restricted Use,Yes,M07,B,1,Knowing,Number closest to 1362/ 32,Number,Whole Numbers,N1,3,N13,0.87723,0.06529,0.80058,0.04797,0.23753,0.01734,,,,
M041059,2015,4,M,4,Restricted Use,Yes,M07,-,1,Knowing,Fraction of circles that are black,Number,Fractions and Decimals,N2,1,N21,0.69936,0.02271,-0.14268,0.02548,,,,,,
M041046,2015,4,M,4,Restricted Use,Yes,M07,A,1,Knowing,Which is the largest fraction,Number,Fractions and Decimals,N2,2,N22,1.33515,0.05791,0.28833,0.02458,0.11805,0.01184,,,,
M041048,2015,4,M,4,Restricted Use,Yes,M07,B,1,Reasoning,Height of wall made of 4 rows,Number,Whole Numbers,N1,4,N14,1.55559,0.09195,0.63103,0.02756,0.28701,0.01209,,,,
M041169,2015,4,M,4,Restricted Use,Yes,M07,A,1,Knowing,Shape and its reflection,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,1.06606,0.05773,0.18729,0.04164,0.22172,0.01814,,,,
M041333,2015,4,M,4,Restricted Use,Yes,M07,C,1,Applying,How many cubes are in the box,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,3,G23,1.08314,0.05846,0.64806,0.03069,0.13723,0.01276,,,,
M041262,2015,4,M,4,Restricted Use,Yes,M07,B,1,Applying,What is the area of the triangle,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,3,G23,0.93835,0.06989,0.99298,0.0425,0.20868,0.01469,,,,
M041267,2015,4,M,4,Restricted Use,Yes,M07,-,1,Applying,Draw line with given specification,Geometric Shapes and Measures,"Points, Lines, and Angles",G1,2,G12,0.598,0.02289,0.7506,0.03478,,,,,,
M041177,2015,4,M,4,Restricted Use,Yes,M07,C,1,Applying,How many years older is Juan,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,0.88179,0.0437,-0.43207,0.05978,0.15246,0.02553,,,,
M041271,2015,4,M,4,Restricted Use,Yes,M07,D,1,Reasoning,Selecting correct bar graph,Data Display,"Reading, Interpreting, and Representing",D1,1,D12,0.93491,0.04195,-0.49068,0.05137,0.12092,0.02286,,,,
M041276A,2015,4,M,4,Restricted Use,Yes,M07,-,1,Knowing,Who won the Triathlon,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,1.03192,0.02973,0.11946,0.01825,,,,,,
M041276B,2015,4,M,4,Restricted Use,Yes,M07,-,1,Reasoning,What Sue needs to improve on,Data Display,"Reading, Interpreting, and Representing",D1,2,D12,0.91067,0.02941,0.67377,0.02321,,,,,,
M051206,2015,4,M,5,Secured,Yes,M09,-,1,Knowing,Add 385 to 5876,Number,Whole Numbers,N1,3,N13,0.6456,0.02199,-0.72006,0.03418,,,,,,
M051052,2015,4,M,5,Secured,Yes,M09,C,1,Knowing,Number closest in size to 5341,Number,Whole Numbers,N1,2,N12,1.02127,0.06608,0.26835,0.05294,0.33071,0.02027,,,,
M051049,2015,4,M,5,Secured,Yes,M09,B,1,Applying,Stickers bought by Mr. Brown,Number,Whole Numbers,N1,5,N15,1.49858,0.06385,0.0984,0.02511,0.15192,0.01344,,,,
M051045,2015,4,M,5,Secured,Yes,M09,-,1,Applying,Time when the cake will be baked,Number,Whole Numbers,N1,4,N14,1.17598,0.03261,0.0564,0.01654,,,,,,
M051098,2015,4,M,5,Secured,Yes,M09,D,1,Knowing,Fraction equivalent to 4/10,Number,Fractions and Decimals,N2,2,N22,1.06658,0.05863,0.73555,0.0312,0.13191,0.01268,,,,
M051030,2015,4,M,5,Secured,Yes,M09,-,1,Applying,Fraction of the cake left,Number,Fractions and Decimals,N2,2,N22,1.01892,0.03507,1.16051,0.02895,,,,,,
M051502,2015,4,M,5,Secured,Yes,M09,D,1,Reasoning,Rule to sort the shapes,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.9751,0.06789,1.09859,0.03885,0.15378,0.01291,,,,
M051224,2015,4,M,5,Secured,Yes,M09,A,1,Knowing,Shape with a right angle,Geometric Shapes and Measures,"Points, Lines, and Angles",G1,3,G13,1.01489,0.06028,0.15915,0.05101,0.27986,0.02088,,,,
M051207,2015,4,M,5,Secured,Yes,M09,B,1,Knowing,Shape with 2 kinds of symmetry,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,1,G21,0.952,0.08498,0.89815,0.05552,0.37712,0.01735,,,,
M051427,2015,4,M,5,Secured,Yes,M09,C,1,Applying,Find the perimeter of the triangle,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,3,G23,1.13504,0.06411,0.71666,0.03132,0.16487,0.01305,,,,
M051533,2015,4,M,5,Secured,Yes,M09,-,1,Reasoning,How many books will fill the box,Geometric Shapes and Measures,Two- and Three-dimensional Shapes,G2,3,G23,1.13354,0.03211,0.18373,0.01696,,,,,,
