itemID,adminYear,Grade,Subject,Cycle,Released,inScaling,mainSurBlock,Key,maxPoints,codDomainXScaling,itemLabel,contentDomain2015,mainTopic,Topic,Bullet,Objective,a_est,a_se,b_est,b_se,c_est,c_se,d1_est,d1_se,d2_est,d2_se
M032324,2011,8,M,3,Yes,Yes,M05,D,1,Reasoning,Distance between the midpoints,Geometry,Geometric Shapes,G1,4,G14,1.30027,0.1125,0.84652,0.04448,0.18234,0.01614,,,,
M032116,2011,8,M,3,Yes,Yes,M05,B,1,Applying,Area of a square is 144 square cm,Geometry,Geometric Measurement,G2,2,G22,1.3362,0.12847,0.80951,0.05003,0.27133,0.018,,,,
M032100,2011,8,M,3,Yes,Yes,M05,D,1,Applying,Shape made up of same size cubes ,Geometry,Geometric Measurement,G2,2,G22,1.04273,0.07808,0.31357,0.05455,0.14436,0.02275,,,,
M032402,2011,8,M,3,Yes,Yes,M05,A,1,Reasoning,Why PQR is a right angle triangle,Geometry,Geometric Shapes,G1,5,G15,0.92056,0.1099,0.82659,0.08111,0.31455,0.02573,,,,
M032734,2011,8,M,3,Yes,Yes,M05,-,1,Knowing,View of shape directly from above,Geometry,Geometric Shapes,G1,3,G13,0.78701,0.03648,-0.47102,0.03874,,,,,,
M032397,2011,8,M,3,Yes,Yes,M05,B,1,Knowing,Figure 1 transformed to 2 and 3,Geometry,Location and Movement,G3,2,G32,1.15026,0.10183,0.64484,0.05374,0.21891,0.02059,,,,
M032132,2011,8,M,3,Yes,Yes,M05,D,1,Knowing,How likely to get pink candy ,Data and Chance,Chance,D3,1,D31,0.69659,0.06178,0.27521,0.09257,0.12806,0.03321,,,,
M042041,2011,8,M,4,Yes,Yes,M06,C,1,Applying,Length of the original pipe,Number,Fractions and Decimals,N2,5,N22,1.45243,0.11181,-0.23441,0.05736,0.297,0.02787,,,,
M042024,2011,8,M,4,Yes,Yes,M06,B,1,Knowing,What is K on a number  line,Number,Fractions and Decimals,N2,3,N21,1.61202,0.10642,0.05076,0.03708,0.16688,0.01905,,,,
M042016,2011,8,M,4,Yes,Yes,M06,A,1,Applying,Express 256 X 4096 as power of 4 ,Number,Whole Numbers,N1,2,N13,0.88168,0.08622,0.49144,0.07814,0.23211,0.02839,,,,
M042002,2011,8,M,4,Yes,Yes,M06,-,1,Reasoning,Numbers to get greatest results,Number,Whole Numbers,N1,1,N11,0.76128,0.03896,0.88407,0.04724,,,,,,
M042077,2011,8,M,4,Yes,Yes,M06,C,1,Knowing,Expression to equivalent to 4(3+x),Algebra,Algebraic Expressions,A1,3,A12,1.62112,0.13104,0.48689,0.04012,0.25214,0.01768,,,,
M042235,2011,8,M,4,Yes,Yes,M06,D,1,Knowing,What is the value of x and y,Algebra,Equations/ Formulas and Functions,A2,3,A22,1.58644,0.10012,0.18051,0.03336,0.12288,0.01619,,,,
M042067,2011,8,M,4,Yes,Yes,M06,B,1,Applying,What is the area of the rectangle,Algebra,Algebraic Expressions,A1,4,A13,2.24299,0.24813,1.12167,0.03746,0.28547,0.01268,,,,
M042150,2011,8,M,4,Yes,Yes,M06,B,1,Knowing,Which shape has a line of symmetry,Geometry,Geometric Shapes,G1,2,G12,0.83418,0.08852,0.82662,0.07438,0.19755,0.02545,,,,
M042260,2011,8,M,4,Yes,Yes,M06,B,1,Knowing,How likely student voted for Pat,Data and Chance,Chance,D3,1,D31,0.99682,0.09026,-0.06504,0.09004,0.30744,0.03469,,,,
M042198A,2011,8,M,4,Yes,Yes,M06,-,1,Knowing,Next term in the pattern,Algebra,Patterns,A3,1,A31,1.20465,0.05179,-0.7668,0.03166,,,,,,
M042198B,2011,8,M,4,Yes,Yes,M06,-,1,Reasoning,Term number 100 in the pattern,Algebra,Patterns,A3,1,A31,1.07063,0.04579,0.25001,0.02837,,,,,,
M042198C,2011,8,M,4,Yes,Yes,M06,-,1,Reasoning,Term number n in the pattern,Algebra,Patterns,A3,2,A31,1.88177,0.09132,1.01422,0.02566,,,,,,
M042300Z,2011,8,M,4,Yes,Yes,M06,-,2,Applying,Measure of angle BOC-DERIVED,Geometry,Geometric Measurement,G2,1,G21,0.81447,0.02591,0.31637,0.02266,,,-0.35242,0.04589,0.35242,0.04834
M042169A,2011,8,M,4,Yes,Yes,M06,-,1,Knowing,Mean number of staff members,Data and Chance,Data Interpretation,D1,1,D11,1.23985,0.0518,0.18702,0.02546,,,,,,
M042169B,2011,8,M,4,Yes,Yes,M06,-,1,Knowing,Median number of staff members,Data and Chance,Data Interpretation,D1,1,D11,0.34924,0.02899,1.1366,0.11021,,,,,,
M042169C,2011,8,M,4,Yes,Yes,M06,-,1,Applying,Change in mean and median,Data and Chance,Data Interpretation,D2,2,D22,0.81762,0.05017,1.57186,0.07157,,,,,,
M032352,2011,8,M,3,Yes,Yes,M07,C,1,Applying,The shadow lengths of four bushes,Algebra,Patterns,A3,1,A32,1.4736,0.13965,0.35593,0.05579,0.39106,0.02163,,,,
M032725,2011,8,M,3,Yes,Yes,M07,-,1,Knowing,Write 3 5/6 in decimal form,Number,Fractions and Decimals,N2,4,N21,1.30517,0.05888,0.80397,0.0298,,,,,,
M032683,2011,8,M,3,Yes,Yes,M07,-,2,Knowing,Simplify 3x/8 plus x/4 plus x/2,Algebra,Algebraic Expressions,A1,3,A12,0.63751,0.01977,0.76716,0.03005,,,-1.19586,0.07295,1.19586,0.07948
M032738,2011,8,M,3,Yes,Yes,M07,D,1,Knowing,What xy plus 1 mean,Algebra,Algebraic Expressions,A1,4,A13,1.45045,0.1045,-0.16884,0.05041,0.234,0.02552,,,,
M032295,2011,8,M,3,Yes,Yes,M07,A,1,Knowing,m boys and n girls in a parade,Algebra,Algebraic Expressions,A1,4,A13,1.48942,0.11304,-0.41987,0.05926,0.2896,0.03044,,,,
M032331,2011,8,M,3,Yes,Yes,M07,B,1,Applying,Degrees minute hand of clock turns,Geometry,Geometric Shapes,G1,4,G14,2.25083,0.23117,1.20852,0.03454,0.18847,0.01075,,,,
M032623,2011,8,M,3,Yes,Yes,M07,D,1,Applying,Area of the shaded region in figure,Geometry,Geometric Measurement,G2,2,G22,1.91093,0.1332,0.61304,0.0284,0.1261,0.01208,,,,
M032679,2011,8,M,3,Yes,Yes,M07,A,1,Knowing,Shape of cutout figure,Geometry,Geometric Shapes,G1,2,G12,1.26102,0.09812,0.28514,0.05037,0.21604,0.02205,,,,
M032047,2011,8,M,3,Yes,Yes,M07,B,1,Applying,Sum of 3 consecutive whole numbers,Algebra,Algebraic Expressions,A1,4,A13,2.15508,0.28084,1.09477,0.04647,0.42576,0.01367,,,,
M032398,2011,8,M,3,Yes,Yes,M07,B,1,Reasoning,Value of angle x in figure,Geometry,Geometric Shapes,G1,4,G14,1.68281,0.16834,0.83827,0.04457,0.32049,0.01595,,,,
M032507,2011,8,M,3,Yes,Yes,M07,C,1,Applying,Number of times spinner in red area,Data and Chance,Chance,D3,2,D33,1.83984,0.16588,1.01343,0.03599,0.18744,0.01225,,,,
M032424,2011,8,M,3,Yes,Yes,M07,C,1,Reasoning,Jo has 3 metal blocks to weigh,Algebra,Equations/ Formulas and Functions,A2,3,A22,1.21733,0.08981,0.35173,0.04648,0.16114,0.0201,,,,
M032681A,2011,8,M,3,Yes,Yes,M07,-,1,Knowing,Car production graph/time cars made,Data and Chance,Data Organization and Representation,D2,1,D21,0.51887,0.03008,-0.71982,0.06015,,,,,,
M032681B,2011,8,M,3,Yes,Yes,M07,-,1,Applying,Car production graph/avg by hour,Data and Chance,Data Interpretation,D2,2,D22,0.55079,0.03338,0.88932,0.06365,,,,,,
M032681C,2011,8,M,3,Yes,Yes,M07,-,1,Applying,Car production graph/identify time,Data and Chance,Data Interpretation,D2,2,D22,1.06742,0.0476,0.39963,0.02988,,,,,,
M052209,2015,8,M,5,No,Yes,M04,C,1,Knowing,Decimal closest in size to 3/4.,Number,"Fractions, Decimals, and Integers",N2,2,N22,1.45868,0.06786,-0.05218,0.0306,0.15675,0.01605,,,,
M052142,2015,8,M,5,No,Yes,M04,A,1,Applying,Height of a stack of stools,Number,Whole Numbers,N1,2,N12,1.02955,0.06357,0.81798,0.03745,0.14372,0.01378,,,,
M052006,2015,8,M,5,No,Yes,M04,D,1,Reasoning,Which statement about x is true,Number,Whole Numbers,N1,3,N13,1.48139,0.11159,1.01618,0.03497,0.30272,0.01144,,,,
M052035,2015,8,M,5,No,Yes,M04,-,1,Knowing,Compare size of decimal numbers,Number,"Fractions, Decimals, and Integers",N2,1,N21,1.47293,0.04259,0.31802,0.01615,,,,,,
M052016,2015,8,M,5,No,Yes,M04,-,1,Applying,Milk needed in cake recipe,Number,"Ratio, Proportion and Percent",N3,3,N33,1.48689,0.04334,0.40011,0.0163,,,,,,
M052064,2015,8,M,5,No,Yes,M04,C,1,Knowing,Value of the given expression,Algebra,Expressions and Operations,A1,1,A11,1.5359,0.09004,0.61315,0.02962,0.24031,0.01241,,,,
M052126,2015,8,M,5,No,Yes,M04,-,1,Applying,Expression for the shaded area,Algebra,Expressions and Operations,A1,3,A13,1.86076,0.06499,1.11502,0.019,,,,,,
M052103,2015,8,M,5,No,Yes,M04,B,1,Knowing,Value of y when x = 25,Algebra,Expressions and Operations,A1,1,A11,1.12615,0.05755,0.2469,0.03685,0.14015,0.01648,,,,
M052066,2015,8,M,5,No,Yes,M04,C,1,Applying,Formula for the new rectangle,Algebra,Equations and Inequalities,A2,1,A21,1.40757,0.07728,0.44022,0.03137,0.21209,0.01387,,,,
M052041,2015,8,M,5,No,Yes,M04,-,1,Reasoning,Height of the building,Geometry,Geometric Shapes,G1,3,G13,1.23036,0.04413,1.2804,0.02865,,,,,,
M052057,2015,8,M,5,No,Yes,M04,D,1,Reasoning,Figure that can be folded as box ,Geometry,Geometric Shapes,G1,4,G14,0.65913,0.04541,0.04781,0.09317,0.15063,0.03359,,,,
M052417,2015,8,M,5,No,Yes,M04,-,1,Applying,Value of angle x in figure,Geometry,Geometric Shapes,G1,2,G12,0.96207,0.02972,0.29812,0.02187,,,,,,
M052501,2015,8,M,5,No,Yes,M04,-,1,Reasoning,Sports survey bar graph mistake,Data and Chance,Data Interpretation,D2,3,D23,0.87434,0.03066,0.99998,0.03132,,,,,,
M052410,2015,8,M,5,No,Yes,M04,B,1,Applying,Students that chose History,Data and Chance,Data Interpretation,D2,1,D21,0.84822,0.06815,0.59864,0.06705,0.2864,0.02274,,,,
M052170,2015,8,M,5,No,Yes,M04,B,1,Applying,List with specified mean and range,Data and Chance,Characteristics of Data Sets,D1,1,D11,1.14338,0.0984,1.22139,0.0448,0.27038,0.01286,,,,
M052413,2015,8,M,5,No,Yes,M08,A,1,Knowing,Solve given numeric expression,Number,"Fractions, Decimals, and Integers",N2,2,N22,1.19405,0.07014,0.09616,0.04634,0.27564,0.02008,,,,
M052134,2015,8,M,5,No,Yes,M08,D,1,Knowing,How much hotter is city A than B,Number,"Fractions, Decimals, and Integers",N2,1,N21,1.22654,0.05955,-0.15621,0.03934,0.15924,0.0197,,,,
M052078,2015,8,M,5,No,Yes,M08,B,1,Applying,Percentage of money John saves,Number,"Ratio, Proportion and Percent",N3,3,N33,1.05207,0.07139,0.9258,0.03965,0.18116,0.01376,,,,
M052034,2015,8,M,5,No,Yes,M08,C,1,Knowing,Fraction wanting to go on a trip,Number,"Fractions, Decimals, and Integers",N2,1,N21,1.40631,0.09188,0.6339,0.03576,0.30101,0.01377,,,,
M052130,2015,8,M,5,No,Yes,M08,B,1,Knowing,Equivalent algebraic expression,Algebra,Expressions and Operations,A1,2,A12,1.28884,0.07845,0.94887,0.031,0.15148,0.01067,,,,
M052073,2015,8,M,5,No,Yes,M08,C,1,Knowing,Value of fractional expression,Algebra,Expressions and Operations,A1,1,A11,1.48648,0.07506,0.52109,0.02609,0.14627,0.01136,,,,
M052110,2015,8,M,5,No,Yes,M08,-,1,Knowing,Convert Celsius into Fahrenheit,Algebra,Expressions and Operations,A1,1,A11,1.5274,0.0467,0.68243,0.01764,,,,,,
M052105,2015,8,M,5,No,Yes,M08,-,1,Applying,Which slope has a greater value,Algebra,Relationships and Functions,A3,2,A32,1.14356,0.04446,1.49,0.03582,,,,,,
M052407,2015,8,M,5,No,Yes,M08,A,1,Applying,What is the value of angle a ,Geometry,Geometric Shapes,G1,1,G11,1.29404,0.09237,0.39929,0.0477,0.40408,0.0171,,,,
M052036,2015,8,M,5,No,Yes,M08,-,1,Applying,Draw an angle ABC of 135 degrees,Geometry,Geometric Measurement,G2,1,G21,0.75565,0.02575,0.41981,0.0274,,,,,,
M052502,2015,8,M,5,No,Yes,M08,-,1,Applying,Store with lowest price per pair,Data and Chance,Data Interpretation,D2,2,D22,1.1462,0.03395,-0.23686,0.01954,,,,,,
M052117,2015,8,M,5,No,Yes,M08,-,1,Applying,Is Jesse's bar graph correct,Data and Chance,Data Interpretation,D2,3,D23,0.58013,0.03056,2.16255,0.09468,,,,,,
M052426,2015,8,M,5,No,Yes,M08,D,1,Knowing,Number of goals of 4 soccer teams,Data and Chance,Data Interpretation,D2,1,D21,0.79434,0.04531,-0.83253,0.09919,0.16784,0.04367,,,,
M052174A,2015,8,M,5,No,Yes,M08,-,1,Applying,How many kilocalories used,Number,Whole Numbers,N1,2,N12,1.0875,0.03259,0.284,0.01996,,,,,,
M052174B,2015,8,M,5,No,Yes,M08,-,1,Applying,How many minutes of soccer played,Number,Whole Numbers,N1,2,N12,1.16714,0.03928,1.05457,0.02592,,,,,,
M042183,2015,8,M,4,No,Yes,M09,D,1,Knowing,Find the number ,Number,"Fractions, Decimals, and Integers",N2,1,N21,0.68068,0.044,-0.10547,0.09055,0.1428,0.0338,,,,
M042060,2015,8,M,4,No,Yes,M09,B,1,Knowing,Fraction by which price reduced by,Number,"Ratio, Proportion and Percent",N3,2,N32,1.33342,0.0659,0.1118,0.03319,0.16916,0.01599,,,,
M042019,2015,8,M,4,No,Yes,M09,-,1,Knowing,Approximate the sum ,Number,Whole Numbers,N1,2,N12,0.76486,0.02599,0.48826,0.0277,,,,,,
M042023,2015,8,M,4,No,Yes,M09,-,1,Applying,Which is larger 7/12 or 2/3,Number,"Fractions, Decimals, and Integers",N2,1,N21,1.28574,0.03827,0.49037,0.01861,,,,,,
M042197,2015,8,M,4,No,Yes,M09,-,1,Reasoning,Rule to get terms in the pattern,Number,Relationships and Functions (Algebra),A3,1,A31,1.08392,0.0358,0.92809,0.0255,,,,,,
M042234,2015,8,M,4,No,Yes,M09,C,1,Knowing,What is the value of x,Algebra,Equations and Inequalities,A2,2,A22,1.46993,0.07403,0.30049,0.02883,0.17581,0.01352,,,,
M042066,2015,8,M,4,No,Yes,M09,-,1,Reasoning,Missing term in the sequence,Algebra,Relationships and Functions,A3,1,A31,0.68275,0.02403,0.25287,0.02865,,,,,,
M042243,2015,8,M,4,No,Yes,M09,A,1,Knowing,Which equation is satisfied ,Algebra,Expressions and Operations,A1,1,A11,1.92606,0.08406,0.35848,0.01889,0.09496,0.00879,,,,
M042248,2015,8,M,4,No,Yes,M09,-,1,Knowing,What is the value of n,Algebra,Equations and Inequalities,A2,2,A22,1.50762,0.04611,0.68229,0.01778,,,,,,
M042120,2015,8,M,4,No,Yes,M09,A,1,Knowing,Statement about Lines L and M,Geometry,Geometric Shapes,G1,1,G11,1.075,0.06739,0.02298,0.05756,0.29492,0.02349,,,,
M042203,2015,8,M,4,No,Yes,M09,C,1,Applying,What is the value of x,Geometry,Geometric Shapes,G1,2,G12,1.51236,0.07155,0.12259,0.02805,0.15424,0.01405,,,,
M042264,2015,8,M,4,No,Yes,M09,-,1,Reasoning,Conditions for similar triangles,Geometry,Geometric Shapes,G1,3,G13,0.83734,0.03194,1.2813,0.03938,,,,,,
M042255,2015,8,M,4,No,Yes,M09,B,1,Applying,Representing data on a pie chart,Data and Chance,Data Interpretation,D2,1,D21,0.65703,0.04077,-0.36724,0.10136,0.13375,0.03806,,,,
M042224,2015,8,M,4,No,Yes,M09,-,1,Knowing,Estimate the temperature,Data and Chance,Data Interpretation,D2,2,D22,0.91534,0.02858,-0.07526,0.02267,,,,,,
M042229Z,2015,8,M,4,No,Yes,M09,-,2,Applying,Length of longest side of triangle-DERIVED,Algebra,Equations and Inequalities,A2,2,A22,1.1874,0.02751,0.75935,0.01416,,,-0.30015,0.02682,0.30015,0.03027
M042080A,2015,8,M,4,No,Yes,M09,-,1,Knowing,What is a+b,Algebra,Expressions and Operations,A1,2,A12,0.75223,0.02586,0.49925,0.02829,,,,,,
M042080B,2015,8,M,4,No,Yes,M09,-,1,Knowing,What is a-b,Algebra,Expressions and Operations,A1,2,A12,1.31268,0.04842,1.31334,0.02838,,,,,,
M052017,2015,8,M,5,No,Yes,M10,D,1,Knowing,Equivalent numeric expression,Number,Whole Numbers,N1,1,N11,1.23832,0.06461,0.12589,0.03758,0.18662,0.01743,,,,
M052217,2015,8,M,5,No,Yes,M10,-,1,Reasoning,Who paid less for a hockey stick,Number,"Ratio, Proportion and Percent",N3,2,N32,1.3681,0.04263,0.77671,0.01976,,,,,,
M052021,2015,8,M,5,No,Yes,M10,-,2,Reasoning,Complete TV game show table,Number,Whole Numbers,N1,2,N12,1.02482,0.02299,0.62666,0.01482,,,-0.33235,0.0286,0.33235,0.03176
M052095,2015,8,M,5,No,Yes,M10,-,1,Knowing,Complete the fraction sequence ,Number,"Fractions, Decimals, and Integers",N2,1,N21,1.63575,0.04816,0.44213,0.01558,,,,,,
M052094,2015,8,M,5,No,Yes,M10,-,1,Reasoning,Who spent more for shoes,Number,"Fractions, Decimals, and Integers",N2,2,N22,1.18851,0.04084,1.12632,0.02668,,,,,,
M052131,2015,8,M,5,No,Yes,M10,A,1,Applying,Step in solving the equation,Algebra,Equations and Inequalities,A2,2,A22,1.25607,0.08422,0.8287,0.03631,0.24051,0.01313,,,,
